,Addresses,Value
0,0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,8.415536369994054e+25
1,0x7727e5113d1d161373623e5f49fd568b4f543a9e,4.562712851291586e+25
2,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,4.255298913641433e+25
3,0xbfc39b6f805a9e40e77291aff27aee3c96915bdd,2.1104195138094623e+25
4,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,1.5543077635266931e+25
5,0xabbb6bebfa05aa13e908eaa492bd7a8343760477,1.0719485945629484e+25
6,0x341e790174e3a4d35b65fdc067b6b5634a61caea,8.379000751917755e+24
7,0x58ae42a38d6b33a1e31492b60465fa80da595755,2.902709187105732e+24
8,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,1.2380861145200434e+24
9,0xe28e72fcf78647adce1f1252f240bbfaebd63bcc,1.172426432515822e+24
